datetime,sym,bid_price,bid_size,ask_price,ask_size
2025.05.23D08:00:00.001037561,IBM,257.03,2,260.91,1
2025.05.23D08:00:00.001062570,IBM,257.03,2,259.77,1
2025.05.23D08:00:00.009487606,IBM,257.03,2,259.49,1
2025.05.23D08:00:00.017576775,IBM,257.03,2,259.41,1
2025.05.23D08:00:00.017581889,IBM,257.08,1,259.41,1
2025.05.23D08:00:00.092685311,IBM,257.03,1,259.41,1
2025.05.23D08:00:00.092690335,IBM,257.03,1,259.7,1
2025.05.23D08:00:00.111926103,IBM,257.2,1,259.7,1
2025.05.23D08:00:00.111951134,IBM,257.2,1,259.5,1
2025.05.23D08:00:01.044001348,IBM,257.3,1,259.5,1
2025.05.23D08:00:01.046046252,IBM,257.3,1,259.4,1
2025.05.23D08:00:01.347312239,IBM,257.3,1,260.04,1
2025.05.23D08:00:01.347327308,IBM,257.3,1,259.8,1
2025.05.23D08:00:01.402904290,IBM,257.3,1,259.6,1
2025.05.23D08:00:01.478950013,IBM,257.3,1,259.4,1
2025.05.23D08:00:03.173366840,IBM,257.3,1,259.3,1
2025.05.23D08:00:03.183415817,IBM,257.4,1,259.3,1
2025.05.23D08:00:03.242335698,IBM,257.5,1,259.3,1
2025.05.23D08:00:03.653552835,IBM,257.6,1,259.3,1
2025.05.23D08:00:03.858565079,IBM,257.03,1,259.3,1
2025.05.23D08:00:03.858575035,IBM,257.5,1,259.3,1
2025.05.23D08:00:03.929243058,IBM,257.6,1,259.3,1
2025.05.23D08:00:05.534011849,IBM,257.03,1,259.3,1
2025.05.23D08:00:05.534021843,IBM,257.5,1,259.3,1
2025.05.23D08:00:06.942173235,IBM,257.6,1,259.3,1
2025.05.23D08:00:07.936035108,IBM,257.7,1,259.3,1
2025.05.23D08:00:08.103808865,IBM,257.7,1,259.2,1
2025.05.23D08:00:08.113812646,IBM,257.8,1,259.2,1
2025.05.23D08:00:10.101792105,IBM,257.8,1,260.07,1
