datetime,sym,price,size
2025.05.23D08:02:54.915366510,IBM,259.33,2
2025.05.23D08:02:54.915366510,IBM,259.33,1
2025.05.23D08:02:54.915369480,IBM,259.27,7
2025.05.23D08:02:54.915381514,IBM,259.27,3
2025.05.23D08:02:54.915384560,IBM,258.85,7
2025.05.23D08:02:54.915450677,IBM,258.85,10
2025.05.23D08:02:54.990127505,IBM,258.85,8
2025.05.23D08:02:54.990190686,IBM,259.06,4
2025.05.23D08:02:54.990362168,IBM,259.06,4
2025.05.23D08:02:54.990398138,IBM,259.06,1
2025.05.23D08:02:54.990563544,IBM,259.06,4
2025.05.23D08:02:54.990593831,IBM,259.06,1
2025.05.23D08:06:34.683849484,IBM,259.35,20
2025.05.23D08:08:23.611624611,IBM,258.73,2
2025.05.23D08:09:07.020368429,IBM,259.08,1
2025.05.23D08:09:07.813113137,IBM,259.08,1
2025.05.23D08:09:25.726098891,IBM,259.05,1
2025.05.23D08:09:29.772744944,IBM,258.8,2
2025.05.23D08:09:29.772901331,IBM,258.8,2
2025.05.23D08:09:29.772967482,IBM,258.8,2
2025.05.23D08:09:31.161325436,IBM,258.69,10
2025.05.23D08:09:31.161329061,IBM,258.53,60
2025.05.23D08:09:31.161332528,IBM,258.5,1
2025.05.23D08:09:31.161332528,IBM,258.43,100
2025.05.23D08:09:31.161334592,IBM,258.37,1
2025.05.23D08:09:31.161337491,IBM,258.37,4
2025.05.23D08:09:31.161352537,IBM,258.73,24
2025.05.23D08:09:31.161728445,IBM,258.73,8
2025.05.23D08:09:31.161881807,IBM,258.7,8
2025.05.23D08:19:54.303073195,IBM,258.77,1
2025.05.23D08:25:10.905935463,IBM,258.5,1
2025.05.23D08:30:17.236850548,IBM,258.4,14
2025.05.23D08:30:58.917992542,IBM,258.4,14
2025.05.23D08:30:58.952418588,IBM,258.4,2
2025.05.23D08:30:58.952418588,IBM,258.4,5
2025.05.23D08:32:14.928667933,IBM,258.68,2
2025.05.23D08:33:22.909574841,IBM,258.77,10
2025.05.23D08:44:34.457343863,IBM,258.42,1
2025.05.23D08:44:56.454096172,IBM,258.4,35
2025.05.23D08:44:56.454108126,IBM,258.4,10
2025.05.23D08:44:56.454108126,IBM,258.38,37
2025.05.23D08:53:19.786363852,IBM,258.38,1
2025.05.23D08:53:19.786408963,IBM,258.42,14
2025.05.23D08:53:19.786430011,IBM,258.37,1
2025.05.23D08:53:36.685145597,IBM,258.6,5
2025.05.23D08:53:57.710524659,IBM,258.38,10
2025.05.23D08:56:49.027950905,IBM,258.4,3
2025.05.23D08:56:49.027956874,IBM,258.47,20
2025.05.23D08:58:27.499236310,IBM,258.38,20
2025.05.23D09:04:54.181895117,IBM,258.19,1
2025.05.23D09:04:54.181895117,IBM,258.17,1
2025.05.23D09:04:54.181916170,IBM,258.14,2
2025.05.23D09:04:54.182229278,IBM,258,12
2025.05.23D09:05:47.490149245,IBM,258,2
2025.05.23D09:05:47.490152574,IBM,258,3
2025.05.23D09:05:47.490155905,IBM,258,1
2025.05.23D09:05:47.490155905,IBM,258,1
2025.05.23D09:05:47.490158149,IBM,258,5
2025.05.23D09:07:27.751772221,IBM,257.97,1
2025.05.23D09:07:27.752159982,IBM,257.97,1
2025.05.23D09:07:27.752529925,IBM,257.97,1
2025.05.23D09:07:27.752902746,IBM,257.97,1
2025.05.23D09:07:27.753275692,IBM,257.97,1
2025.05.23D09:07:27.753645536,IBM,257.97,1
2025.05.23D09:07:27.754015504,IBM,257.97,1
2025.05.23D09:07:27.754388283,IBM,257.97,1
2025.05.23D09:07:27.754758220,IBM,257.97,1
2025.05.23D09:07:27.755128095,IBM,257.97,1
2025.05.23D09:07:28.017710323,IBM,257.97,1
2025.05.23D09:08:05.189705508,IBM,257.97,1
2025.05.23D09:08:05.716027878,IBM,257.97,1
2025.05.23D09:08:06.317036022,IBM,257.97,1
2025.05.23D09:08:14.270714525,IBM,257.97,1
2025.05.23D09:08:14.831450707,IBM,257.97,1
2025.05.23D09:08:15.565549823,IBM,257.97,1
2025.05.23D09:08:16.123859213,IBM,257.97,1
2025.05.23D09:08:16.886754891,IBM,257.97,1
2025.05.23D09:08:17.425574883,IBM,257.97,1
2025.05.23D09:08:18.182203626,IBM,257.97,1
2025.05.23D09:08:18.728887358,IBM,257.97,1
2025.05.23D09:08:19.494961640,IBM,257.97,1
2025.05.23D09:08:20.128083193,IBM,257.97,1
2025.05.23D09:08:20.869841473,IBM,257.97,1
2025.05.23D09:08:21.503221723,IBM,257.97,1
2025.05.23D09:08:22.109324015,IBM,257.97,1
2025.05.23D09:08:23.534047659,IBM,257.97,1
2025.05.23D09:08:24.133687465,IBM,257.97,1
2025.05.23D09:08:24.754960932,IBM,257.97,1
2025.05.23D09:08:25.337297816,IBM,257.97,1
2025.05.23D09:08:25.957187734,IBM,257.97,1
2025.05.23D09:08:26.662333792,IBM,257.97,1
2025.05.23D09:08:27.381959387,IBM,257.97,1
2025.05.23D09:08:28.636880767,IBM,257.97,1
2025.05.23D09:08:29.237705425,IBM,257.97,1
2025.05.23D09:08:30.098360790,IBM,257.97,1
2025.05.23D09:08:30.690681287,IBM,257.97,1
2025.05.23D09:08:31.509564208,IBM,257.97,1
2025.05.23D09:08:33.352995882,IBM,257.97,1
2025.05.23D09:08:33.502000739,IBM,257.72,1
2025.05.23D09:09:01.283634123,IBM,257.96,1
2025.05.23D09:09:01.283973965,IBM,257.96,1
2025.05.23D09:16:35.092236791,IBM,257.72,11
2025.05.23D09:16:35.092495329,IBM,257.6,5
2025.05.23D09:16:35.095929471,IBM,257.6,5
2025.05.23D09:16:35.096961089,IBM,257.46,11
2025.05.23D09:18:22.827758614,IBM,258.04,10
2025.05.23D09:18:22.827758614,IBM,258.18,10
2025.05.23D09:25:06.940509738,IBM,257.5,16
2025.05.23D09:27:17.051080813,IBM,257.54,16
2025.05.23D09:28:35.674062406,IBM,257.54,4
2025.05.23D09:28:35.674065299,IBM,257.54,12
2025.05.23D09:29:18.816320899,IBM,257.52,8
2025.05.23D09:29:18.816375056,IBM,257.6,10
2025.05.23D09:29:18.816441151,IBM,257.6,10
2025.05.23D09:29:18.816537521,IBM,257.52,8
2025.05.23D09:29:18.816537521,IBM,257.5,4
2025.05.23D09:29:18.817141873,IBM,257.5,14
2025.05.23D09:29:30.445697207,IBM,257.42,1
2025.05.23D09:29:30.445700237,IBM,257.29,6
2025.05.23D09:29:30.445724289,IBM,257.3,1
2025.05.23D09:29:31.904458948,IBM,257.5,1
2025.05.23D09:29:32.482714912,IBM,257.29,1
2025.05.23D09:29:36.936789191,IBM,257.06,1
2025.05.23D09:31:33.579270974,IBM,257.48,24
2025.05.23D09:31:33.579270974,IBM,257.5,59
2025.05.23D09:31:33.579631851,IBM,257.48,14
2025.05.23D09:35:24.706449428,IBM,257.49,30
2025.05.23D09:35:28.733997020,IBM,257.5,40
